gene_name	transcript_name	1	7	12	14	1_pct	7_pct	12_pct	14_pct	p.value	statistic	major_group	p.value.adjusted
PRDX1	ISOT-33e5-d51a-0935-dc32:s45510900:e45523050:AP:FL	346.056505236155	202.83427368264	1311.55645898261	61.0973854301255	0.0105296376650587	0.0144871302261317	0.115069045662163	0.00758408458665907	0	3645.78840647933	astrocytes	0
PRDX1	ISOT-5873-a406-90f8-5c6a:s45511050:e45521900:AP:FL	32346.7027372174	13718.4242783539	9999.29242015282	7942.84943958517	0.984229610854541	0.979817638358269	0.877285173812818	0.985954498458933	0	3645.78840647933	astrocytes	0
RPS24	ISOT-9c5b-f4d8-accd-3c73:s78033850:e78040700:AP:FL	40315.164929537	19550.3281436564	10385.1705161454	9146.90423828278	0.619785154265946	0.694628820168996	0.477632825099821	0.599679029586493	0	2558.09645923322	astrocytes	0
RPS24	ISOT-efbd-a1be-86bb-cb54:s78033750:e78040750:AP:FL	22256.0610810922	7567.99163653956	10433.8148617161	5508.94039984836	0.342153536382803	0.268892934323665	0.479870066767055	0.361170943411024	0	2558.09645923322	astrocytes	0
SPINT2	ISOT-18d2-daf2-21ce-1c3b:s38264550:e38292500:AP:FL	740.791032757629	215.503003668873	61.1837368531982	144.519056128811	0.180548630942634	0.12781910063397	0.00467443936536009	0.173909814836115	0	2129.4452392418	astrocytes	0
SPINT2	ISOT-5cf6-fdf4-6755-966e:s38264550:e38292650:AP:FL	3124.44665659284	1397.70502780006	12242.3400474134	641.469255151296	0.761502962854698	0.829006540806678	0.935315153748442	0.771924494766903	0	2129.4452392418	astrocytes	0
TPM2	ISOT-259d-ed4f-1ec0-65eb:s35682000:e35689950:AP:FL	8700.9098064071	5309.1576642649	1882.74488912278	2621.57749451391	0.234526404717388	0.166033643682913	0.0787869203372817	0.254161006953712	0	2967.80730012541	astrocytes	0
TPM2	ISOT-90a4-21b8-0bcd-a3b6:s35681950:e35690100:AP:FL	26105.6016779586	24978.0935714021	20850.6148121631	7047.74147043645	0.703656633701391	0.781141595365834	0.872532299877676	0.683276032321789	0	2967.80730012541	astrocytes	0
PKM	ISOT-342e-3de6-ebd4-fb2b:s72199000:e72231200:EC:FL	23681.5092896128	9846.84429525972	6713.684748355	5888.38627402365	0.848398804994389	0.852004545538272	0.729905312555066	0.853720006150432	2.25097435134152e-307	1418.97203401086	astrocytes	3.19818435838603e-304
PKM	ISOT-3d90-1de6-8ff6-8469:s72199000:e72231200:NC:FL	1024.60640652733	311.550113882444	1116.22978077634	208.936628017992	0.0367069024299337	0.0269570742901452	0.121355422180116	0.0302924045834861	2.25097435134152e-307	1418.97203401086	astrocytes	3.19818435838603e-304
MYL6	ISOT-6682-0eaa-1a94-8114:s56158350:e56161600:AP:FL	24638.8965877621	15812.9771622043	17445.6780097123	6455.60549437881	0.232185762086862	0.265438657818211	0.303963445825562	0.226927533502915	1.20309481669463e-269	1245.09797669456	astrocytes	1.42446426296645e-266
MYL6	ISOT-c7bc-246e-e750-55b0:s56158350:e56161600:AP:FL	73402.6363514128	39285.3946135503	35280.2501550231	19848.1195847742	0.691713080564764	0.659449660308366	0.614702759086717	0.697701373785253	1.20309481669463e-269	1245.09797669456	astrocytes	1.42446426296645e-266
HSPB1	ISOT-1299-ad33-796a-b4db:s76302650:e76304300:AP:FL	1043.29590025611	454.187230931451	1543.71480550845	307.543558914701	0.249917615984267	0.285247301802565	0.613580708065306	0.280897460104416	2.82403098737446e-223	1048.54600631182	astrocytes	2.67492215124109e-220
HSPB1	ISOT-af73-4faf-5afe-3e50:s76302650:e76304300:AP:FL	546.042199007963	185.259462471381	129.376006843159	112.042688882855	0.130802358726203	0.116350170600306	0.0514231136491181	0.102335119101591	2.82403098737446e-223	1048.54600631182	astrocytes	2.67492215124109e-220
HSPB1	ISOT-e5fa-10af-438a-6104:s76302650:e76304300:AP:FL	2408.50619630345	867.411780006428	716.169937836896	642.809828563249	0.576948616893567	0.544768441180453	0.284656243488132	0.587115687972032	2.82403098737446e-223	1048.54600631182	astrocytes	2.67492215124109e-220
ATP5F1C	ISOT-0a8a-ed69-1511-6035:s7788150:e7807850:AP:FL	3137.60150288386	1495.70930459471	364.206834809562	745.521179552673	0.387937165839771	0.460332746102216	0.120070833426987	0.361798314837317	1.02411030267078e-203	941.199593370163	astrocytes	8.55915245902731e-201
ATP5F1C	ISOT-3a38-8540-11ae-5936:s7788150:e7807850:AP:FL	4654.39842652478	1621.00832724485	2529.34040317866	1258.84648390028	0.57547592726977	0.498895883339699	0.833866861364676	0.610912941182006	1.02411030267078e-203	941.199593370163	astrocytes	8.55915245902731e-201
COL1A1	ISOT-0fcf-855c-8071-fd44:s50184100:e50201650:AP:FL	4475.87588438897	3135.94510986946	1297.86416395436	1056.86649901167	0.16249213830995	0.143490748624138	0.192590584825645	0.180469295619161	5.65654951191078e-201	960.500858383602	astrocytes	3.82705978405849e-198
COL1A1	ISOT-3953-abbc-3c40-0128:s50184100:e50201650:AP:FL	8516.18109919841	7951.88867552433	1047.98135122221	1861.14832793555	0.309171324850632	0.363852815993419	0.155510373830887	0.317807526399414	5.65654951191078e-201	960.500858383602	astrocytes	3.82705978405849e-198
COL1A1	ISOT-7bba-f499-5fd2-b06e:s50184050:e50200150:NC:FL	7633.48524946536	6065.78002307823	2326.07267935612	1633.80554906348	0.277125946514583	0.277550558446181	0.345166859603577	0.27898673758123	5.65654951191078e-201	960.500858383602	astrocytes	3.82705978405849e-198
COL1A1	ISOT-ff2b-eb72-72b5-d777:s50185200:e50201500:NC:FL	3541.65472628446	2644.95381286081	1027.72214751117	678.032657022893	0.128576185867153	0.121024568156254	0.152504102451206	0.11578006884894	5.65654951191078e-201	960.500858383602	astrocytes	3.82705978405849e-198
