gene_name	transcript_name	2	4	5	11	15	2_pct	4_pct	5_pct	11_pct	15_pct	p.value	statistic	major_group	p.value.adjusted
EIF4G2	ISOT-063a-4b31-728e-87ac:s10801000:e10808950:EC:FL	668.614548051353	715.531123138084	264.578878336413	195.010069033498	36.2230057406936	0.0634149801340743	0.366885473016989	0.0468207230247747	0.0652859162898557	0.220257312599098	0	2473.92194981527	neurons	0
EIF4G2	ISOT-5d2a-251e-fb26-40ed:s10797050:e10808950:AP:FL	4067.94275898662	282.317764015148	2324.44407980953	1180.17049193051	12.450705295689	0.385825450552228	0.144757206279912	0.411341045557533	0.395100172651587	0.0757076568417125	0	2473.92194981527	neurons	0
EIF4G2	ISOT-82cf-77a0-14e6-0ce3:s10797050:e10808950:NC:FL	1958.15102082643	309.637552021669	1011.8246861917	562.515026225102	9.80572470364216	0.185721516899581	0.15876530882273	0.179055726895835	0.188320065194222	0.0596246094753113	0	2473.92194981527	neurons	0
EIF4G2	ISOT-c971-4be4-c2ae-3202:s10797050:e10808950:NC:FL	1738.51184200594	179.836088698065	847.107886889578	399.715085821169	39.6345669107856	0.164889762337615	0.0922101727429432	0.149906916204129	0.133817529330913	0.241001623561889	0	2473.92194981527	neurons	0
HNRNPA2B1	ISOT-3a57-f87a-a6a3-3b26:s26191800:e26200750:EC:FL	1155.43312917219	116.870599451389	674.660094326695	265.818064043877	7.14420585194132	0.123774304142709	0.0416799570083413	0.1399709739267	0.106797133002763	0.0266574845221691	0	5882.3627208333	neurons	0
HNRNPA2B1	ISOT-a929-a5b0-54a4-9d16:s26191800:e26200750:EC:FL	6386.26555549113	703.874073062445	3221.11391561579	1760.97902850037	16.7670705342582	0.684120573700175	0.251024990393169	0.668280895355973	0.707504631779979	0.0625636960233516	0	5882.3627208333	neurons	0
HNRNPA2B1	ISOT-ba46-3b95-f807-e2ff:s26190300:e26200750:NC:FL	29.1815082033121	588.402573418962	15.9630310801823	12.9461758511044	74.3244038785085	0.00312603194465047	0.209843999079516	0.00331183217431167	0.00520135630819781	0.277329865218315	0	5882.3627208333	neurons	0
MALAT1	ISOT-4de4-68dc-0c67-56ae:s65499000:e65504400:NC:FL	26453.0417435092	31339.378137372	13501.7226091514	6972.63948992151	1962.53750447455	0.137115218322499	0.184527953320167	0.140649659379831	0.136990856029367	0.122980224815384	0	15393.5278457782	neurons	0
MALAT1	ISOT-64f7-9bf5-9e3f-eba3:s65499000:e65506500:AP:FL	35596.3781418144	44041.577295949	18183.5714337968	9484.30260849978	2559.4864876105	0.184508277260883	0.259319188906372	0.1894212466444	0.186337288061134	0.160387367344886	0	15393.5278457782	neurons	0
MALAT1	ISOT-b716-6139-47c2-57b4:s65498200:e65499800:AP:FL	26631.3221532935	11110.7399042086	12859.3295186539	7220.10061995038	1802.64334307364	0.138039307035897	0.0654206374296694	0.133957745171403	0.141852703839748	0.11296063544656	0	15393.5278457782	neurons	0
MALAT1	ISOT-e95d-d37d-0b46-cac3:s65497700:e65499800:AP:FL	37151.6738989209	17289.7772375437	17661.3748390341	9845.79844446623	2070.49070303744	0.192569910375119	0.101803143413396	0.183981439050301	0.193439566056673	0.129744991653488	0	15393.5278457782	neurons	0
MALAT1	ISOT-f769-b632-3efd-4ab7:s65497650:e65499850:AP:FL	20782.7923129812	16135.3618178082	9830.98668355806	5224.053659693	1228.84475262245	0.107724364289592	0.0950058829907014	0.102411001057961	0.102636538690852	0.0770041864658152	0	15393.5278457782	neurons	0
NEFM	ISOT-7537-fde6-cfa0-815d:s24913750:e24919100:DN:FL	1293.24988493564	730.179519614962	968.573813091364	153.079300335877	65.2466844352783	0.0284888178199282	0.0559738995488663	0.0185931663196853	0.0355584902057785	0.127434930537653	0	1600.02629649749	neurons	0
NEFM	ISOT-8689-1f30-ac5d-9ac7:s24913750:e24919100:AP:FL	35265.0702675877	9390.21191553058	41689.2467502976	2922.43829579117	175.38233185226	0.776849218362985	0.719832266426261	0.800285004708841	0.678847455468332	0.342543616898946	0	1600.02629649749	neurons	0
NEFM	ISOT-c9a9-1cba-008f-fc85:s24914900:e24919100:AP:FL	4884.76963400589	800.581854245778	6889.49693184579	657.522686942253	137.7838681613	0.107605895671459	0.0613707822342489	0.132253794787127	0.152734654341987	0.269109117502539	0	1600.02629649749	neurons	0
ARGLU1	ISOT-1a52-4639-3429-425d:s106543300:e106568150:EC:FL	256.442278267263	111.391301246151	136.802349020424	76.6184899511436	21.8192628857997	0.0753577073956107	0.0533738865578108	0.073907265813303	0.0754861969962006	0.11247042724639	1.11308915402216e-308	1525.89873009341	neurons	1.13670333698228e-308
ARGLU1	ISOT-6ec9-9d4a-4f0c-555c:s106543300:e106568200:AP:FL	1255.29360912591	354.183513481645	677.779455298918	350.59463510937	54.5768513944509	0.368878521635588	0.169709397930831	0.366169343759545	0.345413433605291	0.281323976260056	1.11308915402216e-308	1525.89873009341	neurons	1.13670333698228e-308
ARGLU1	ISOT-9073-952f-6a70-7772:s106543950:e106568150:EC:FL	347.447068456058	182.428487832679	193.356874679301	110.868561715109	15.8800022498766	0.102100225817237	0.0874118293400474	0.104460764278391	0.109230110064147	0.0818556817003949	1.11308915402216e-308	1525.89873009341	neurons	1.13670333698228e-308
ARGLU1	ISOT-9a68-0bda-b6d0-fb59:s106544050:e106568150:NC:FL	314.196524783903	383.59272021264	185.344450522443	75.9023258253039	18.8134425458127	0.09232927557564	0.183801015914059	0.100132064031574	0.0747806165766541	0.0969765079681066	1.11308915402216e-308	1525.89873009341	neurons	1.13670333698228e-308
ARGLU1	ISOT-ac44-d930-1951-729b:s106543300:e106568150:AP:FL	400.204774656238	959.213302138055	250.207233811311	123.754469332978	66.695129885019	0.117603518852847	0.459613465327291	0.135174086337823	0.121925585549732	0.343789329304221	1.11308915402216e-308	1525.89873009341	neurons	1.13670333698228e-308
ARGLU1	ISOT-b46e-3c68-1335-0400:s106541650:e106568150:AP:FL	829.242556891927	96.1905536381215	407.509636667604	277.261518066095	16.2152527025903	0.243679858034654	0.0460903467360429	0.220156475779364	0.273164057207975	0.0835837768174755	1.11308915402216e-308	1525.89873009341	neurons	1.13670333698228e-308
HSP90AA1	ISOT-c95f-ffe1-182a-09cf:s102080700:e102087050:AP:FL	24649.0865756702	3297.64272915314	14330.7614551232	7762.94862390125	98.4069729018005	0.698749494720392	0.507736173587506	0.733932289436582	0.694733211333508	0.371347068196615	1.18227827063001e-275	1279.01143060606	neurons	4.72397274221297e-274
