gene_name	n_lineages	n_transcripts	lineages	transcripts
A2M	3	6	neurons,astrocytes,microglia	ISOT-54db-bbbc-89c8-eeaa:s9067700:e9115950:NC:FL,ISOT-57c9-6acf-4175-bd35:s9067700:e9115950:NC:FL,ISOT-ba22-b067-ebc7-8875:s9067700:e9115950:AP:FL,ISOT-bf44-c828-9cca-3975:s9067700:e9115900:NC:FL,ISOT-cefa-a638-8233-ecb6:s9067700:e9115950:NC:FL,ISOT-ff0c-88bb-e9fe-a931:s9067700:e9080450:EC:FL
AAK1	3	2	neurons,astrocytes,microglia	ISOT-0f7e-6d20-f21b-d464:s69643050:e69643850:AP:FL,ISOT-4680-ab5e-c1ba-eba9:s69457950:e69643750:AP:FL
AAMDC	3	2	neurons,astrocytes,microglia	ISOT-c55f-a1d5-be07-3584:s77821100:e77872400:AP:FL,ISOT-d8ff-abfd-6d6a-f592:s77821100:e77872400:AP:FL
ABCE1	3	2	neurons,astrocytes,microglia	ISOT-9f12-9cee-7f70-a90a:s145098300:e145127600:AP:FL,ISOT-bbe9-730f-ed93-c198:s145098300:e145129550:AP:FL
ABCF1	3	3	neurons,astrocytes,microglia	ISOT-2fa5-d89e-c91e-e1ea:s30571400:e30591550:AP:FL,ISOT-6662-9e5b-fa09-5d3f:s30571400:e30591350:EC:FL,ISOT-cd46-85ab-1c66-896f:s30571400:e30591400:EC:FL
ABHD14A	3	2	neurons,astrocytes,microglia	ISOT-bfe0-be88-2d08-eed9:s51974700:e51981200:AP:FL,ISOT-c7bb-fe28-6517-885e:s51975050:e51981200:AP:FL
ACAA2	3	2	neurons,astrocytes,microglia	ISOT-1cd5-1fcb-a7d8-e71b:s49792250:e49814000:AP:FL,ISOT-43f9-9d14-2dce-157c:s49782150:e49813550:AP:FL
ACADM	3	2	neurons,astrocytes,microglia	ISOT-cc63-8402-d1fa-a4a3:s75724700:e75763700:AP:FL,ISOT-f07b-5072-4d21-2bdc:s75724700:e75762800:NC:FL
ACAT2	3	2	neurons,astrocytes,microglia	ISOT-2fa5-468f-46ab-0451:s159762000:e159779150:AP:FL,ISOT-4a93-22b5-60d5-b5ef:s159762500:e159779050:EC:FL
ACHE	3	2	neurons,astrocytes,microglia	ISOT-18fe-d68d-5c2a-968e:s100889950:e100895900:DN:FL,ISOT-8df0-11ba-9c70-d291:s100889950:e100895900:AP:FL
ACOT2	2	2	neurons,microglia	ISOT-3184-ff05-bb27-bbd3:s73568300:e73575700:AP:FL,ISOT-d489-1d0a-fcbf-aed4:s73569250:e73575700:AP:FL
ACP1	3	2	neurons,astrocytes,microglia	ISOT-9792-6668-0bda-d560:s264900:e278300:AP:FL,ISOT-fd5d-f7dc-470b-dd80:s264900:e278300:AP:FL
ACP2	3	2	neurons,astrocytes,microglia	ISOT-3a91-7cdb-4030-d369:s47239300:e47248950:AP:FL,ISOT-f16b-d94f-b552-7ebe:s47239300:e47248750:NC:FL
ACP5	3	2	neurons,astrocytes,microglia	ISOT-0538-f27f-0f22-c950:s11574650:e11577650:AP:FL,ISOT-275b-66a9-e59c-df5d:s11574650:e11579050:AP:FL
ACSL3	3	2	neurons,astrocytes,microglia	ISOT-1e54-0275-6d92-a49b:s222861000:e222944650:AP:FL,ISOT-c997-4282-d900-db8f:s222860900:e222942250:AP:FL
ACSL4	3	3	neurons,astrocytes,microglia	ISOT-07d5-abd3-67c4-4dbb:s109628500:e109733300:EC:FL,ISOT-3a8d-2af3-a881-6f70:s109641300:e109733300:AP:FL,ISOT-6e7b-edf1-a42c-f5a0:s109643850:e109733250:NC:FL
ACTA2	3	4	neurons,astrocytes,microglia	ISOT-428c-7273-2ccc-cfca:s88935050:e88952800:AP:FL,ISOT-4991-3616-f5e0-6d3f:s88935050:e88952800:AP:FL,ISOT-c475-d957-ea8a-896f:s88935050:e88952800:DN:FL,ISOT-f8b6-ffe4-db05-8e14:s88935050:e88952850:AP:FL
ACTB	3	7	neurons,astrocytes,microglia	ISOT-07e7-fd3e-c7b6-c5dd:s5527100:e5529950:AP:FL,ISOT-0850-a4ee-6178-9642:s5527100:e5530650:AP:FL,ISOT-28c2-745a-45a4-6c90:s5527150:e5530600:DN:FL,ISOT-33b2-f5fc-45ac-4866:s5527150:e5530650:EC:FL,ISOT-3b4b-b1dc-b148-a994:s5527150:e5530650:EC:FL,ISOT-8c59-bfd3-3971-6c8b:s5527100:e5530650:AP:FL,ISOT-bf8b-6979-5ab9-83d2:s5527150:e5530650:NC:FL
ACTG1	3	4	neurons,astrocytes,microglia	ISOT-520a-3503-e325-4458:s81509950:e81512800:AP:FL,ISOT-70f4-7cb2-5e90-abc7:s81509950:e81512850:AP:FL,ISOT-797b-38b1-d618-523d:s81509950:e81512800:AP:FL,ISOT-bc44-5682-01d7-0a87:s81509900:e81512900:AP:FL
ACTL6A	3	2	neurons,astrocytes,microglia	ISOT-7fa3-5cf0-6bc2-8ae5:s179562850:e179588450:AP:FL,ISOT-8e07-4177-1cfa-5974:s179562900:e179588450:AP:FL
ACTN1	3	5	neurons,astrocytes,microglia	ISOT-13ad-f7c6-8d30-a6a4:s68874100:e68979450:AP:FL,ISOT-5a84-1e4a-2708-3344:s68874100:e68978300:NC:FL,ISOT-60ea-6410-8b71-5dec:s68874100:e68938050:AP:FL,ISOT-87a1-c612-17c5-77eb:s68874300:e68979300:NC:FL,ISOT-d5fb-3df1-1d97-0de3:s68874300:e68979350:AP:FL
ACTN4	2	2	neurons,astrocytes	ISOT-3e9f-473c-6fe9-5aa5:s38647650:e38730550:NC:FL,ISOT-73db-6eee-bdde-80c6:s38647650:e38730550:NC:FL
ACTR2	3	3	neurons,astrocytes,microglia	ISOT-2044-8677-df0a-02c3:s65227800:e65271300:AP:FL,ISOT-3920-e761-cce6-7028:s65227800:e65271300:AP:FL,ISOT-c5ac-a397-2913-cabd:s65227800:e65270950:DN:FL
ACTR3	3	3	neurons,astrocytes,microglia	ISOT-413e-1575-0e88-6a7f:s113890050:e113958600:NC:FL,ISOT-4bb8-b8f3-a065-0d71:s113889950:e113958300:DN:FL,ISOT-8516-1353-5c2c-71c1:s113890050:e113962600:AP:FL
ACTR6	2	2	neurons,microglia	ISOT-6c1a-012a-f590-ea4c:s100200800:e100224450:EC:FL,ISOT-bb2a-fb6e-24a2-d4d3:s100200800:e100224450:NC:FL
ACVR2B	3	2	neurons,astrocytes,microglia	ISOT-9dee-3b2e-7d8e-25cd:s38454350:e38484950:AP:FL,ISOT-b69d-8e73-8904-49fe:s38453850:e38493150:AP:FL
ADAM10	3	3	neurons,astrocytes,microglia	ISOT-0ec9-f6e2-13aa-159a:s58595350:e58749700:NC:FL,ISOT-3d04-52e2-fdc5-2144:s58588800:e58749750:AP:FL,ISOT-4bed-0d17-adfc-9088:s58665100:e58749800:AP:FL
ADAM9	3	3	neurons,astrocytes,microglia	ISOT-1075-3170-1bc9-c1ac:s38996950:e39105300:AP:FL,ISOT-1ddc-e2b0-e576-524a:s38996950:e39105050:NC:FL,ISOT-974f-7533-395e-df96:s38996900:e39105050:NC:FL
ADAP2	3	3	neurons,astrocytes,microglia	ISOT-0885-e614-8627-33a7:s30921900:e30958950:NC:FL,ISOT-0d6e-31a1-7620-0570:s30921900:e30959350:AP:FL,ISOT-e58f-6133-19db-667a:s30921800:e30959200:AP:FL
ADD3	3	3	neurons,astrocytes,microglia	ISOT-13c5-51dc-8edd-1c5e:s110007950:e110135600:AP:FL,ISOT-4f2e-b663-aaeb-5510:s110008200:e110134650:NC:FL,ISOT-ca2f-84ca-9613-128b:s110007950:e110135600:AP:FL
ADNP	2	2	neurons,microglia	ISOT-1493-ec6e-8994-a588:s50890300:e50931450:AP:FL,ISOT-d459-2875-9d61-8f33:s50888900:e50905600:AP:FL
